image_filename,absolute_time_GMT_seconds,relative_time_seconds,distance_to_centerline_meters,distance_to_centerline_NORMALIZED,downtrack_position_meters,downtrack_position_NORMALIZED,heading_error_degrees,heading_error_NORMALIZED,period_of_day,cloud_type
MWH_Runway04_morning_overcast_1_0.png,59673.847656,0.000000,0.820970,0.082097,47.441662,0.015909,-1.196439,-0.039881,0,4
MWH_Runway04_morning_overcast_1_1.png,59674.101562,0.253906,0.796779,0.079678,48.614304,0.016303,-2.186440,-0.072881,0,4
MWH_Runway04_morning_overcast_1_2.png,59674.312500,0.464844,0.748038,0.074804,49.901550,0.016734,-3.286359,-0.109545,0,4
MWH_Runway04_morning_overcast_1_3.png,59674.546875,0.699219,0.674712,0.067471,51.115859,0.017141,-4.332726,-0.144424,0,4
MWH_Runway04_morning_overcast_1_4.png,59674.777344,0.929688,0.583969,0.058397,52.300840,0.017539,-5.361947,-0.178732,0,4
MWH_Runway04_morning_overcast_1_5.png,59675.011719,1.164062,0.474184,0.047418,53.472156,0.017932,-6.390408,-0.213014,0,4
MWH_Runway04_morning_overcast_1_6.png,59675.250000,1.402344,0.337889,0.033789,54.720608,0.018350,-7.486764,-0.249559,0,4
MWH_Runway04_morning_overcast_1_7.png,59675.480469,1.632812,0.187334,0.018733,55.848240,0.018728,-8.477837,-0.282595,0,4
MWH_Runway04_morning_overcast_1_8.png,59675.718750,1.871094,0.015384,0.001538,56.998982,0.019114,-9.491833,-0.316394,0,4
MWH_Runway04_morning_overcast_1_9.png,59675.945312,2.097656,-0.189330,-0.018933,58.282474,0.019545,-10.320821,-0.344027,0,4
MWH_Runway04_morning_overcast_1_10.png,59676.203125,2.355469,-0.388199,-0.038820,59.490826,0.019950,-10.468762,-0.348959,0,4
MWH_Runway04_morning_overcast_1_11.png,59676.433594,2.585938,-0.591214,-0.059121,60.725053,0.020364,-10.200372,-0.340012,0,4
MWH_Runway04_morning_overcast_1_12.png,59676.675781,2.828125,-0.769678,-0.076968,61.844675,0.020739,-9.724362,-0.324145,0,4
MWH_Runway04_morning_overcast_1_13.png,59676.902344,3.054688,-0.949749,-0.094975,63.073731,0.021151,-9.027230,-0.300908,0,4
MWH_Runway04_morning_overcast_1_14.png,59677.144531,3.296875,-1.124612,-0.112461,64.308928,0.021566,-8.210175,-0.273673,0,4
MWH_Runway04_morning_overcast_1_15.png,59677.343750,3.496094,-1.232582,-0.123258,65.176232,0.021857,-7.593716,-0.253124,0,4
MWH_Runway04_morning_overcast_1_16.png,59677.628906,3.781250,-1.395276,-0.139528,66.655759,0.022353,-6.480977,-0.216033,0,4
